intern_role,department,internship_batch,github_repo_count,github_stars_total,num_projects,tools_used_count,portfolio_readiness_score
Data Analytics Intern,Data,,,,0,5,63.4
Web Development Intern,Engineering,,,,0,5,59.8
HR/Operations Intern,HR/Operations,,,,0,2,53.6
Data Analytics Intern,Data,,,,0,1,45.2
Web Development Intern,Engineering,,,,0,10,79.8
Web Development Intern,Engineering,,,,0,6,68.6
Data Analytics Intern,Data,,,,1,6,68.8
Data Analytics Intern,Data,,,,0,11,89.9
Front End Development Intern,Engineering,,,,0,1,54.4
Front End Development Intern,Engineering,,,,7,15,100.0
General Intern,General,,,,0,0,36.4
Data Analytics Intern,Data,,,,0,3,68.2
Data Analytics Intern,Data,,,,1,12,93.0
General Intern,General,,,,0,0,35.9
Web Development Intern,Engineering,,,,0,17,88.4
Front End Development Intern,Engineering,,,,0,1,44.7
Front End Development Intern,Engineering,,,,2,5,78.7
Data Analytics Intern,Data,,,,1,9,82.7
Data Analytics Intern,Data,,,,1,6,79.8
Front End Development Intern,Engineering,,,,0,9,75.3
Web Development Intern,Engineering,,,,0,9,79.4
Data Analytics Intern,Data,,,,0,11,74.9
Web Development Intern,Engineering,,,,0,11,60.1
Data Analytics Intern,Data,,,,1,4,64.4
Data Analytics Intern,Data,,,,0,8,79.1
Front End Development Intern,Engineering,,,,0,3,60.7
Data Analytics Intern,Data,,,,0,5,74.4
Front End Development Intern,Engineering,,,,0,1,46.4
Data Analytics Intern,Data,,,,0,3,45.1
Data Analytics Intern,Data,,,,4,18,100.0
Data Analytics Intern,Data,,,,0,12,69.0
Front End Development Intern,Engineering,,,,0,1,53.3
Back End Developer Intern,Engineering,,,,1,12,84.4
Front End Development Intern,Engineering,,,,0,1,48.2
Front End Development Intern,Engineering,,,,0,3,52.5
Data Analytics Intern,Data,,,,1,10,84.9
Web Development Intern,Engineering,,,,0,10,76.3
Front End Development Intern,Engineering,,,,1,9,74.4
Front End Development Intern,Engineering,,,,0,7,66.3
Data Analytics Intern,Data,,,,0,7,66.8
Web Development Intern,Engineering,,,,6,14,100.0
Front End Development Intern,Engineering,,,,1,18,91.6
Data Analytics Intern,Data,,,,1,6,77.3
Data Analytics Intern,Data,,,,0,1,52.2
Web Development Intern,Engineering,,,,1,16,94.8
Front End Development Intern,Engineering,,,,0,15,98.5
Web Development Intern,Engineering,,,,3,16,100.0
Web Development Intern,Engineering,,,,5,15,100.0
Web Development Intern,Engineering,,,,3,15,91.2
Data Analytics Intern,Data,,,,0,10,79.6
General Intern,General,,,,0,0,40.4
HR/Operations Intern,HR/Operations,,,,0,3,46.4
Data Analytics Intern,Data,,,,2,5,55.5
General Intern,General,,,,0,0,29.3
Front End Development Intern,Engineering,,,,1,10,66.5
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,0,5,70.6
Data Analytics Intern,Data,,,,0,4,57.5
HR/Operations Intern,HR/Operations,,,,0,1,30.9
Front End Development Intern,Engineering,,,,0,5,50.6
Front End Development Intern,Engineering,,,,0,2,41.7
Front End Development Intern,Engineering,,,,1,6,71.0
Web Development Intern,Engineering,,,,1,5,61.1
Data Analytics Intern,Data,,,,0,5,58.0
Front End Development Intern,Engineering,,,,0,11,59.5
Front End Development Intern,Engineering,,,,0,8,62.4
Front End Development Intern,Engineering,,,,1,3,50.6
Data Analytics Intern,Data,,,,0,2,49.7
Front End Development Intern,Engineering,,,,0,4,53.0
General Intern,General,,,,0,0,32.8
General Intern,General,,,,0,0,19.4
Web Development Intern,Engineering,,,,0,7,49.8
General Intern,General,,,,0,0,22.0
General Intern,General,,,,0,0,19.4
Web Development Intern,Engineering,,,,2,25,89.1
General Intern,General,,,,0,0,40.2
Front End Development Intern,Engineering,,,,0,7,54.7
Data Analytics Intern,Data,,,,1,5,72.2
Data Analytics Intern,Data,,,,0,3,38.5
Web Development Intern,Engineering,,,,0,6,66.8
Data Analytics Intern,Data,,,,0,3,38.5
Social Media Management Intern,Marketing,,,,1,14,77.3
General Intern,General,,,,0,0,44.3
Data Analytics Intern,Data,,,,0,2,42.1
Front End Development Intern,Engineering,,,,0,1,42.0
Front End Development Intern,Engineering,,,,0,4,47.4
HR/Operations Intern,HR/Operations,,,,0,1,42.0
Data Analytics Intern,Data,,,,0,2,34.7
Web Development Intern,Engineering,,,,0,13,77.3
Data Analytics Intern,Data,,,,0,4,60.5
Web Development Intern,Engineering,,,,0,1,37.9
Sales & Marketing Intern,Sales,,,,1,1,50.6
Data Analytics Intern,Data,,,,3,11,68.4
General Intern,General,,,,0,0,19.4
Web Development Intern,Engineering,,,,0,1,41.4
Front End Development Intern,Engineering,,,,1,17,83.1
Social Media Management Intern,Marketing,,,,1,6,53.3
Web Development Intern,Engineering,,,,1,9,80.0
Data Analytics Intern,Data,,,,0,2,38.5
Data Analytics Intern,Data,,,,0,2,38.5
General Intern,General,,,,0,0,24.0
Front End Development Intern,Engineering,,,,1,10,83.8
General Intern,General,,,,0,0,33.3
General Intern,General,,,,0,0,19.4
Digital Marketing Intern,Marketing,,,,0,2,38.2
General Intern,General,,,,0,0,36.8
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,0,2,38.5
Data Analytics Intern,Data,,,,0,8,82.5
Web Development Intern,Engineering,,,,0,4,53.0
Front End Development Intern,Engineering,,,,0,4,54.0
Data Analytics Intern,Data,,,,2,5,66.7
Web Development Intern,Engineering,,,,1,17,78.2
Data Analytics Intern,Data,,,,0,3,42.4
General Intern,General,,,,0,0,29.3
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,1,4,45.8
Front End Development Intern,Engineering,,,,0,2,38.7
Data Analytics Intern,Data,,,,0,3,38.5
Data Analytics Intern,Data,,,,0,1,37.9
Front End Development Intern,Engineering,,,,0,1,49.5
Front End Development Intern,Engineering,,,,1,17,79.6
Data Analytics Intern,Data,,,,0,6,71.9
Web Development Intern,Engineering,,,,0,6,62.0
Graphic Design Intern,Design,,,,0,3,40.1
General Intern,General,,,,0,0,19.4
Social Media Management Intern,Marketing,,,,0,1,34.4
General Intern,General,,,,0,0,19.4
Content Writing Intern,Content,,,,0,1,42.0
Web Development Intern,Engineering,,,,0,12,67.5
Graphic Design Intern,Design,,,,0,6,49.5
Graphic Design Intern,Design,,,,0,6,49.5
HR/Operations Intern,HR/Operations,,,,0,1,30.9
Web Development Intern,Engineering,,,,1,8,66.8
Data Analytics Intern,Data,,,,0,1,45.5
Front End Development Intern,Engineering,,,,1,11,83.3
Front End Development Intern,Engineering,,,,1,6,57.9
Data Analytics Intern,Data,,,,0,8,68.4
General Intern,General,,,,0,0,29.3
HR/Operations Intern,HR/Operations,,,,0,1,45.1
HR/Operations Intern,HR/Operations,,,,0,1,45.1
General Intern,General,,,,0,0,40.2
Web Development Intern,Engineering,,,,0,11,78.4
Front End Development Intern,Engineering,,,,0,1,37.9
General Intern,General,,,,0,0,19.4
Web Development Intern,Engineering,,,,0,5,53.0
Front End Development Intern,Engineering,,,,0,3,38.5
Web Development Intern,Engineering,,,,4,13,89.0
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,0,1,34.4
Data Analytics Intern,Data,,,,1,7,72.2
Data Analytics Intern,Data,,,,0,2,45.5
Data Analytics Intern,Data,,,,0,3,38.5
Data Analytics Intern,Data,,,,0,1,45.5
Data Analytics Intern,Data,,,,0,9,82.9
Data Analytics Intern,Data,,,,1,9,76.5
Data Analytics Intern,Data,,,,0,5,57.6
Web Development Intern,Engineering,,,,3,20,91.6
Data Analytics Intern,Data,,,,0,3,40.1
Data Analytics Intern,Data,,,,0,3,40.1
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,0,4,51.4
Data Analytics Intern,Data,,,,0,4,61.5
General Intern,General,,,,0,0,25.5
Data Analytics Intern,Data,,,,0,4,55.3
General Intern,General,,,,0,0,44.3
Data Analytics Intern,Data,,,,0,1,37.9
Web Development Intern,Engineering,,,,1,8,63.3
Back End Developer Intern,Engineering,,,,0,7,49.8
Web Development Intern,Engineering,,,,0,15,75.2
Web Development Intern,Engineering,,,,5,10,89.5
HR/Operations Intern,HR/Operations,,,,0,1,34.4
Front End Development Intern,Engineering,,,,0,10,65.5
Graphic Design Intern,Design,,,,0,7,48.6
General Intern,General,,,,0,0,29.6
